asin,afntotalquantity,subsource,sellerSku,AfnListingExists
"B08P3HR1R4","20","Transter AMA MX","US-S925-WHI-EAR-HOOP-010-020-FBA","1"
"B08P3HWL2P","12","Transter AMA MX","US-S925-WHI-EAR-HOOP-011-025-FBA","1"
"B08P3JRT26","13","Transter AMA MX","US-S925-WHI-EAR-HOOP-012-020-FBA","1"
"B08P3J83NZ","0","Transter AMA MX","US-S925-WHI-EAR-HOOP-013-020-FBA","1"
"B08P3KHBKC","0","Transter AMA MX","US-S925-WHI-EAR-HOOP-014-025-FBA","1"
"B08P3KRGGG","0","Transter AMA MX","US-S925-WHI-EAR-HOOP-015-035-FBA","1"
"B08P3J9956","0","Transter AMA MX","US-S925-WHI-EAR-HOOP-016-020-FBA","1"
"B08P3KYWMH","10","Transter AMA MX","US-S925-WHI-EAR-HOOP-017-020-FBA","1"
"B0943XX2SF","9","Transter AMA MX","US-S925-WHI-EAR-HOOP-020-012-FBA","1"
"B0943YDNJC","5","Transter AMA MX","US-S925-WHI-EAR-HOOP-020-020-FBA","1"
"B08ZSTHD3P","15","Transter AMA MX","US-S925-WHI-EAR-STUD-PERL-001-6to7-FBA","1"
"B08ZSVSK7Z","8","Transter AMA MX","US-S925-WHI-EAR-STUD-PERL-001-7to8-FBA","1"
"B08ZSSZDS8","12","Transter AMA MX","US-S925-WHI-EAR-STUD-PERL-001-9to10-FBA","1"
"B08ZSWSCXX","4","Transter AMA MX","US-S925-WHI-EAR-STUD-PERL-002-6to7-FBA","1"
"B08MFPGSKG","12","Transter AMA MX","US-S925-WHI-PEN-CROS-003-FBA","1"
"B08MFNMZNP","0","Transter AMA MX","US-S925-WHI-PEN-CROS-004-FBA","1"
"B08MFQCP6F","0","Transter AMA MX","US-S925-WHI-PEN-CROS-005-FBA","1"
"B08MFP1L2H","9","Transter AMA MX","US-S925-WHI-PEN-CROS-006-FBA","1"
"B08MFN64Q6","10","Transter AMA MX","US-S925-WHI-PEN-CROS-007-FBA","1"
"B08MFQ5FVJ","6","Transter AMA MX","US-S925-WHI-PEN-CROS-008-FBA","1"
"B08MFQYKCR","5","Transter AMA MX","US-S925-WHI-PEN-CROS-009-FBA","1"
"B082BF23G4","14","Transter AMA MX","US-S925-WHI-PEN-LET-001-A-FBA","1"
"B082BBL6NW","12","Transter AMA MX","US-S925-WHI-PEN-LET-001-B-FBA","1"
"B082BBTLTG","0","Transter AMA MX","US-S925-WHI-PEN-LET-001-C-FBA","1"
"B082B9CHCZ","0","Transter AMA MX","US-S925-WHI-PEN-LET-001-D-FBA","1"
"B082BFGR3M","2","Transter AMA MX","US-S925-WHI-PEN-LET-001-J-FBA","1"
"B082BCPQGS","7","Transter AMA MX","US-S925-WHI-PEN-LET-001-K-FBA","1"
"B082BCY7KW","17","Transter AMA MX","US-S925-WHI-PEN-LET-001-M-FBA","1"
"B082BD3NVQ","11","Transter AMA MX","US-S925-WHI-PEN-LET-001-N-FBA","1"
"B082BCKF59","1","Transter AMA MX","US-S925-WHI-PEN-LET-001-S-FBA","1"
"B082BBSFKK","10","Transter AMA MX","US-S925-WHI-PEN-LET-001-T-FBA","1"
"B08R41TJSQ","11","Transter AMA MX","US-S925-WHI-RIN-CEL-006-I-FBA","1"
"B08C34PJMC","8","Transter AMA MX","US-S925-WHI-RIN-CEL-006-J-FBA","1"
"B08R3ZW9Y5","4","Transter AMA MX","US-S925-WHI-RIN-CEL-006-K-FBA","1"
"B08C34DGJD","9","Transter AMA MX","US-S925-WHI-RIN-CEL-006-L-FBA","1"
"B08C35VZK9","9","Transter AMA MX","US-S925-WHI-RIN-CEL-006-M-FBA","1"
"B08C34NJ4G","6","Transter AMA MX","US-S925-WHI-RIN-CEL-006-N-FBA","1"
"B09NY6N3MZ","14","Amazon UK","GB-G9K-YEL-PEN-CROS-006-FBA","1"
"B07TZYMD5V","0","Amazon DE","EU-TIE-S925-BRA-026-030-190-FBA","1"
"B07TZYC6H3","1","Amazon DE","EU-TIE-S925-BRA-026-030-200-FBA","1"
"B08LGY5RXS","0","Transter AMA US","US-S925-BAW-NEC-CHA-016-045-450-FBA2","1"
"B07RK8BTHX","19","Transter AMA MX","US-BIA-BRP-CHAIN-060-150-500-FBA","1"
"B07RP1KJFG","12","Transter AMA MX","US-BIA-BRP-CHAIN-060-150-650-FBA","1"
"B07T69R46V","18","Transter AMA MX","US-BIA-BRP-CHAIN-060-200-FBA","1"
"B00NG1HUX0","18","Transter AMA MX","US-BIA-GP-CHAIN-001-035-360-FBA","1"
"B00NG1HX9Q","9","Transter AMA MX","US-BIA-GP-CHAIN-001-035-450-FBA","1"
"B00NG1HXZ0","6","Transter AMA MX","US-BIA-GP-CHAIN-001-035-500-FBA","1"
"B00NG1I1NI","9","Transter AMA MX","US-BIA-GP-CHAIN-001-035-700-FBA","1"
"B077MQ71G6","22","Transter AMA MX","US-BIA-GP-CHAIN-001-040-250-FBA","1"
"B073GC9FWC","50","Transter AMA MX","US-BIA-GP-CHAIN-015-120-450-FBA","1"
"B073G7MZ8G","67","Transter AMA MX","US-BIA-GP-CHAIN-015-120-500-FBA","1"
"B073G8GNBV","0","Transter AMA MX","US-BIA-GP-CHAIN-015-120-700-FBA","1"
"B077MBFMZS","29","Transter AMA MX","US-BIA-GP-CHAIN-019-110-250-FBA","1"
"B00D94C3Y0","121","Transter AMA MX","US-BIA-S925-CHAIN-001-030-450-FBA","1"
"B00D94BYVS","68","Transter AMA MX","US-BIA-S925-CHAIN-001-030-500-FBA","1"
"B00D94C2N2","70","Transter AMA MX","US-BIA-S925-CHAIN-001-030-600-FBA","1"
"B072882QN5","38","Transter AMA MX","US-BIA-S925-CHAIN-001-040-220-250-FBA","1"
"B00D9BQHAO","29","Transter AMA MX","US-BIA-S925-CHAIN-001-040-450-FBA","1"
"B00D9BQK60","42","Transter AMA MX","US-BIA-S925-CHAIN-001-040-500-FBA","1"
"B00D9BQPME","44","Transter AMA MX","US-BIA-S925-CHAIN-001-040-700-FBA","1"
"B01N366CM3","21","Transter AMA MX","US-BIA-S925-CHAIN-010-080-200-FBA","1"
"B012EOLGES","29","Transter AMA MX","US-BIA-S925-CHAIN-012-100-360-FBA","1"
"B012EOLJA4","94","Transter AMA MX","US-BIA-S925-CHAIN-012-100-450-FBA","1"
"B012EOLKEO","63","Transter AMA MX","US-BIA-S925-CHAIN-012-100-500-FBA","1"
"B012EOLN4Q","75","Transter AMA MX","US-BIA-S925-CHAIN-012-100-600-FBA","1"
"B073D6H1YK","82","Transter AMA MX","US-BIA-S925-CHAIN-012-200-450-FBA","1"
"B073D8F8RV","56","Transter AMA MX","US-BIA-S925-CHAIN-012-200-650-FBA","1"
"B00DKD02Z2","43","Transter AMA MX","US-BIA-S925-CHAIN-013-075-190-FBA","1"
"B00DKD03D8","15","Transter AMA MX","US-BIA-S925-CHAIN-013-075-200-FBA","1"
"B00JCW1CDQ","29","Transter AMA MX","US-BIA-S925-CHAIN-015-120-360-FBA","1"
"B00DKD0874","101","Transter AMA MX","US-BIA-S925-CHAIN-015-120-450-FBA","1"
"B00DKD08U6","94","Transter AMA MX","US-BIA-S925-CHAIN-015-120-500-FBA","1"
"B00JCW1GI2","56","Transter AMA MX","US-BIA-S925-CHAIN-015-120-700-FBA","1"
"B01NBWIM7J","25","Transter AMA MX","US-BIA-S925-CHAIN-015-120-900-FBA","1"
"B00DKD0AGI","17","Transter AMA MX","US-BIA-S925-CHAIN-016-350-450-FBA","1"
"B01IBQX6IM","17","Transter AMA MX","US-BIA-S925-CHAIN-043-200-180-FBA","1"
"B01IBQX7GS","27","Transter AMA MX","US-BIA-S925-CHAIN-043-200-190-FBA","1"
"B01IBQX9EI","15","Transter AMA MX","US-BIA-S925-CHAIN-043-200-450-FBA","1"
"B01IBQXBDC","6","Transter AMA MX","US-BIA-S925-CHAIN-043-200-550-FBA","1"
"B01N4Q9ZOP","64","Transter AMA MX","US-BIA-S925-CHAIN-045-140-180-FBA","1"
"B01N5RK8OL","103","Transter AMA MX","US-BIA-S925-CHAIN-045-140-190-FBA","1"
"B0725N7KSD","63","Transter AMA MX","US-BIA-S925-CHAIN-045-140-220-250-FBA","1"
"B0714B6NBJ","0","Transter AMA MX","US-BIA-S925-CHAIN-046-170-220-250-FBA","1"
"B01NAU1MJ3","7","Transter AMA MX","US-BIA-S925-CHAIN-051-250-450-FBA","1"
"B01N6RQT3T","0","Transter AMA MX","US-BIA-S925-CHAIN-051-250-500-FBA","1"
"B01N34Q2U0","0","Transter AMA MX","US-BIA-S925-CHAIN-051-250-600-FBA","1"
"B01N360YYH","82","Transter AMA MX","US-BIA-S925-CHAIN-052-040-200-FBA","1"
"B077N8W3RM","241","Transter AMA MX","US-BIA-S925-CHAIN-052-040-250-FBA","1"
"B06Y58ZYC6","8","Transter AMA MX","US-BIA-S925-CHAIN-055-230-500-FBA","1"
"B06Y5STLNM","7","Transter AMA MX","US-BIA-S925-CHAIN-055-230-700-FBA","1"
"B00D0TO3G0","94","Transter AMA MX","US-BIA-S925-HOOP-001-FBA","1"
"B00D0TO4G4","67","Transter AMA MX","US-BIA-S925-HOOP-002-FBA","1"
"B00D0TO5KY","0","Transter AMA MX","US-BIA-S925-HOOP-003-FBA","1"
"B00D0TO6G2","0","Transter AMA MX","US-BIA-S925-HOOP-004-FBA","1"
"B00D0TO75M","0","Transter AMA MX","US-BIA-S925-HOOP-005-FBA","1"
"B077MN9BHT","28","Transter AMA MX","US-BIA-S925-HOOP-HIN-010-FBA","1"
"B077MD1DG6","24","Transter AMA MX","US-BIA-S925-HOOP-HIN-020-FBA","1"
"B07NTGYTQ6","24","Transter AMA MX","US-CN-S925-LOC-003-FBA","1"
"B07Z59WJPW","14","Transter AMA MX","US-GS-GP-PEN-COIN-001-FBA","1"
"B07S1SVY6L","34","Transter AMA MX","US-GS-ROSE-CHAIN-EXT-001-FBA","1"
"B08PC6M657","20","Transter AMA MX","US-GS-S925-EAR-014-FBA","1"
"B06XYW4WQF","4","Transter AMA MX","US-GS-S925-HOOP-007-FBA","1"
"B06XYVM7F4","11","Transter AMA MX","US-GS-S925-HOOP-015-FBA","1"
"B06XZ8ZM2L","4","Transter AMA MX","US-GS-S925-HOOP-025-FBA","1"
"B06XYVM5ML","4","Transter AMA MX","US-GS-S925-HOOP-035-FBA","1"
"B06XYVM5V6","0","Transter AMA MX","US-GS-S925-HOOP-045-FBA","1"
"B06XZC1RWB","0","Transter AMA MX","US-GS-S925-HOOP-055-FBA","1"
"B07Z591N8W","4","Transter AMA MX","US-GS-S925-PEN-COIN-001-FBA","1"
"B07NT32JTG","51","Transter AMA MX","US-MS-S925-LOC-001-FBA","1"
"B07R94JB4Y","94","Transter AMA MX","US-MS-S925-TOE-001-FBA","1"
"B07R94JHCH","39","Transter AMA MX","US-MS-S925-TOE-002-FBA","1"
"B07RC4XK1N","21","Transter AMA MX","US-MS-S925-TOE-004-FBA","1"
"B07STWS287","94","Transter AMA MX","US-PAV-S925-EAR-BALL-001-020-2PAIR-FBA","1"
"B081VK8FXV","24","Transter AMA MX","US-PAV-S925-EAR-BALL-002-020-2PAIR-FBA","1"
"B081VK8FYJ","9","Transter AMA MX","US-PAV-S925-EAR-BALL-002-030to050-FBA","1"
"B07Z57WC8L","2","Transter AMA MX","US-PAV-S925-EAR-CRAW-001-FBA","1"
"B07Z56N8H6","25","Transter AMA MX","US-PAV-S925-EAR-CRAW-004-FBA","1"
"B07Z57KVT4","27","Transter AMA MX","US-PAV-S925-EAR-CRAW-005-FBA","1"
"B07QS82H3S","19","Transter AMA MX","US-PAV-S925-HOOP-BALI-001-015-FBA","1"
"B07QS9Y5YM","36","Transter AMA MX","US-PAV-S925-HOOP-BALI-002-020-FBA","1"
"B07QNYQDSW","19","Transter AMA MX","US-PAV-S925-HOOP-BALI-003-015-FBA","1"
"B07QT9RLZJ","7","Transter AMA MX","US-PAV-S925-HOOP-BALI-004-030-FBA","1"
"B08LGR98JB","1","Transter AMA MX","US-S925-BAW-BRA-CHA-012-190-FBA","1"
"B08ZST4DBL","13","Transter AMA MX","US-S925-WHI-EAR-STUD-PERL-002-7to8-FBA","1"
"B08ZSTGZ6N","13","Transter AMA MX","US-S925-WHI-EAR-STUD-PERL-002-9to10-FBA","1"
"B099SCVL6Q","23","Transter AMA MX","US-S925-WHI-EAR-STUD-SWA-006-001-BBL-FBA","1"
"B099S943ZW","16","Transter AMA MX","US-S925-WHI-EAR-STUD-SWA-006-202-FBA","1"
